,Facility Size (sq Ft),"Revenue (US Dollars, million)","Net Income (US Dollars, million)",Total Employees,"Total Assets (US Dollars, million)",Owns Rents_Owns,Importer,Exporter,Manufacturing,Women Owned,Minority Owned,RevPerEm,RevPerSq,SqPerEm,LogRpE,LogRpF,LogFpE
125,29000,1.951582,0,17,0,0,0,0,1,0,0,0.114798941,6.73E-05,1705.882353,0.231333677,0.065074161,3.554923716
126,23000,1.9,0,23,0,1,0,0,1,0,0,0.082608696,8.26E-05,1000,0.201964448,0.063908985,3.160188603
127,1600,0.52,0,5,0,0,0,0,1,0,0,0.104,0.000325,320,-0.36496331,-0.088634838,4.117605647
128,4316,0.508737,0,4,0,0,0,0,1,0,0,0.12718425,0.000117872,1079,-0.41991312,-0.080742806,5.200625797
129,4577,0.505153,0,5,0,0,0,0,1,0,0,0.1010306,0.000110368,915.4,-0.381130357,-0.081019125,4.704202314
130,4577,0.502739,0,5,0,0,0,0,1,0,0,0.1005478,0.00010984,915.4,-0.383803821,-0.081587439,4.704202314
131,22000,1.1,0,15,0,1,0,0,1,0,0,0.073333333,5.00E-05,1466.666667,0.034375881,0.009532164,3.606303976
132,12000,1.1,0,14,0,1,0,0,1,0,0,0.078571429,9.17E-05,857.1428571,0.03519513,0.010147302,3.468422382
133,5000,1.1,0,12,0,0,0,0,1,0,0,0.091666667,0.00022,416.6666667,0.037158698,0.011190327,3.320608716
134,6584,1.1,0,10,0,1,0,0,1,1,0,0.11,0.000167072,658.4,0.039747432,0.010840067,3.666714657
135,8400,0.548535,0,10,0,1,0,0,1,0,0,0.0548535,6.53E-05,840,-0.250429699,-0.066456956,3.768299261
136,2225,0.54,0,5,0,0,0,0,0,1,0,0.108,0.000242697,445,-0.343900032,-0.079946178,4.30164446
137,6400,0.53,0,5,0,1,0,0,1,0,0,0.106,8.28E-05,1280,-0.35433231,-0.07244117,4.891311261
138,4316,0.528812,0,4,0,0,1,0,1,0,0,0.132203,0.000122524,1079,-0.395866341,-0.076118982,5.200625797
139,4577,0.525189,0,5,0,0,0,0,1,0,0,0.1050378,0.000114745,915.4,-0.359421614,-0.07640437,4.704202314
140,4000,0.79,0,10,0,0,0,0,0,0,0,0.079,0.0001975,400,-0.098303848,-0.028420656,3.458887356
141,4855,0.79,0,9,0,0,0,0,1,0,0,0.087777778,0.000162719,539.4444444,-0.102372909,-0.027772017,3.686189234
142,3500,0.78,0,10,0,0,0,0,1,0,0,0.078,0.000222857,350,-0.103616435,-0.030446762,3.40320044
143,3461,0.5,0,7,0,0,0,0,1,0,0,0.071428571,0.000144467,494.4285714,-0.333333333,-0.085055905,3.918991075
144,3000,0.5,0,3,0,1,0,0,1,0,0,0.166666667,0.000166667,1000,-0.5,-0.086574489,5.775373393
145,5000,0.5,0,3,0,0,0,0,1,0,0,0.166666667,0.0001,1666.666667,-0.5,-0.081382113,6.14385619
146,5500,0.5,0,4,0,1,0,0,1,0,0,0.125,9.09E-05,1375,-0.430676558,-0.080481499,5.351249219
147,7568,0.5,0,3,0,0,0,0,1,0,0,0.166666667,6.61E-05,2522.666667,-0.5,-0.077605429,6.442848187
148,90000,2.1,0,20,0,0,1,0,1,0,0,0.105,2.33E-05,4500,0.243695804,0.065039064,3.746914395
149,2000,2,0,15,0,0,1,1,1,0,0,0.133333333,0.001,133.3333333,0.25,0.091192748,2.741446071
150,17000,2,0,23,0,1,0,0,1,0,0,0.086956522,0.000117647,739.1304348,0.218104292,0.071157932,3.065073514
151,10000,0.56,0,7,0,1,0,0,1,0,0,0.08,5.60E-05,1428.571429,-0.278833756,-0.062952993,4.42923746
152,1100,1.171044,0,6,0,0,0,0,1,1,0,0.195174,0.001064585,183.3333333,0.081142317,0.022546649,3.598863731
153,3600,0.4,0,9,0,0,0,0,1,0,0,0.044444444,0.000111111,400,-0.397940009,-0.11189712,3.556302501
154,4500,0.43,0,5,0,1,0,0,1,0,0,0.086,9.56E-05,900,-0.471028665,-0.100331296,4.694733205
155,4204,0.421079,0,4,0,0,0,0,1,0,0,0.10526975,0.000100162,1051,-0.537414216,-0.103662081,5.18428929
156,3768,0.42,0,3,0,0,0,0,1,0,0,0.14,0.000111465,1256,-0.625769383,-0.105352077,5.939791625
157,2169,0.6,0,9,0,0,0,0,0,1,0,0.066666667,0.000276625,241,-0.22184875,-0.06649625,3.336259552
158,2050,0.587898,0,5,0,0,0,0,0,0,0,0.1175796,0.00028678,410,-0.296469378,-0.069660375,4.255925644
159,4286,1.278086,0,11,0,0,0,0,0,0,0,0.116189636,0.0002982,389.6363636,0.098741595,0.029338807,3.365562717
160,5881,1.249444,0,8,0,1,0,0,1,0,0,0.1561805,0.000212454,735.125,0.101354525,0.025658058,3.950202535
161,3642,1.223314,0,8,0,0,0,0,1,0,0,0.15291425,0.000335891,455.25,0.091735534,0.024580059,3.732112022
162,5271,0.44,0,6,0,1,0,0,1,0,0,0.073333333,8.35E-05,878.5,-0.421900545,-0.095797306,4.40409614
163,3606,0.44,0,4,0,0,0,0,1,0,0,0.11,0.000122019,901.5,-0.510103898,-0.100237488,5.088953317
164,5619,0.85,0,8,0,0,0,0,1,0,0,0.10625,0.000151272,702.375,-0.073965552,-0.018823331,3.929461321
165,23818,0.84,0,,0,0,0,0,1,0,0,,3.53E-05,,,-0.017300058,
166,4500,0.32,0,4,0,1,0,0,1,0,0,0.08,7.11E-05,1125,-0.707970326,-0.135456128,5.226565505
167,5000,0.31,0,3,0,1,0,0,1,1,0,0.103333333,6.20E-05,1666.666667,-0.84482994,-0.137508092,6.14385619
168,3300,0.6,0,5,0,0,0,1,1,0,0,0.12,0.000181818,660,-0.285097209,-0.063051832,4.521632444
169,3825,0.33,0,3,0,0,0,0,1,0,0,0.11,8.63E-05,1275,-0.799731035,-0.134394528,5.950622016
170,4186,0.322653,0,10,0,0,0,0,0,0,0,0.0322653,7.71E-05,418.6,-0.471737798,-0.135640951,3.477842005
171,5000,0.32,0,4,0,0,0,0,1,0,0,0.08,6.40E-05,1250,-0.707970326,-0.133780491,5.292029674
172,5842,0.452863,0,9,0,0,0,0,1,0,0,0.050318111,7.75E-05,649.1111111,-0.344033161,-0.091338786,3.766561553
173,4204,0.451699,0,4,0,0,0,0,1,0,0,0.11292475,0.000107445,1051,-0.49379926,-0.095249172,5.18428929
174,3868,0.3,0,3,0,0,0,0,1,0,0,0.1,7.76E-05,1289.333333,-0.868482797,-0.145750723,5.95868604
175,3538,0.3,0,6,0,0,0,0,0,1,1,0.05,8.48E-05,589.6666667,-0.618719628,-0.147341343,4.199226197
